"Submission ID","Respondent ID","Submitted at","uuid","session_id","session_duration","subject","Respondent's country","how was your sesh with Professor Curious fr?","what made you call the Prof.?","what didn’t work for you with the Prof.?","what actually helped you the most? 🔥","what do you think we could do better?","Anything here that low-key had you confused or stressed?","How well did the whiteboard work for you today?"
"9qeJzyY","5BdJQbZ","2026-02-08 01:23:20","5","","","Any subject","","5","📚 to learn","","","The transcript was showing up already before he started talking.","","5"
"819JqGY","ODGoJWg","2026-02-08 02:22:45","6","","","Any subject","","5","📚 to learn","the genius smart brain","","nothing ","","5"
"7RQJLqz","D4VQxJl","2026-02-08 02:43:16","0","","","Unknown","","5","📚 to learn","Hes the best","","Make him more chill","","5"
"RGOZ8Yv","zxKlR2k","2026-02-08 05:34:03","5","","","Any subject","","5","📚 to learn","He’s nice and he makes me understand so much better","","He’s nice and he makes it easier for me to understand
","","5"
"Npz4RxN","ODAvZ9k","2026-02-08 06:16:27","33","","","Any subject","","4","📝 to do homework","","","Include images for reference ","","4"
"Me0r7jE","XxeX7vz","2026-02-08 06:16:31","0","","","Unknown","","5","📚 to learn","That he teaches good","","Nothing","","5"
"pb2jLQV","WONRLRv","2026-02-08 08:42:47","1","","","Unknown","","5","📚 to learn","Very nice & crisp , keep it up, 😁 thankyou for your help ","","It's good going 😌","","5"
"1Aoq9DM","81QYGoo","2026-02-08 11:47:29","1","","","Unknown","","5","📚 to learn","I  don't know how to talk with prof","","Please give instructions how to talk with prof","","5"
"68qr9gk","q4b0kd5","2026-02-08 13:15:13","0","","","Any subject","","1","📝 to do homework","","","Need more information ","","1"
"1AjGYob","81d7EEk","2026-02-08 13:51:10","3","","","Unknown","","5","📚 to learn","The explaining and understanding me correctly and giving the right answer","","Everything was good but the speed was just slightly slow but the response and following clearing was good","","5"
"ODR8Rjp","81d7EEk","2026-02-08 14:26:53","30","","","Unknown","","5","📚 to learn","Explanation","","Nothing","","5"
"vGREqav","q4b0kd5","2026-02-08 16:59:44","0","","","Unknown","","4","📚 to learn","","","Not so good for drawing ","","2"
"LZ8vQ2y","obA4lZb","2026-02-08 19:40:35","7","","","Any subject","","5","📚 to learn","He breaks it down","","Idk","","5"
"rjXJPrX","obA4lZb","2026-02-08 20:54:03","4","","","Any subject","","1","📝 to do homework","Nothing right now","","Can he try different way ways of explaining it?","","2"
"gDBDpOM","0QEy2Vy","2026-02-09 00:46:22","4","","","Any subject","","2","📝 to do homework","The man was so good he gives you the perfect and correct answers","","By given us the answer and if it’s about drawing the thing he has to draw it","","1"
"EkpN5Xl","zxKpY21","2026-02-09 02:16:18","14","","","Any subject","","5","📚 to learn","","","No","","5"
"vGRdKpl","QKAbO7g","2026-02-09 04:24:09","7","","","Unknown","","5","📚 to learn","","","Nothing","","5"
"2E271rA","5Bd6Wzo","2026-02-09 08:27:35","5","","","Unknown","","5","📚 to learn","","","Not sure","","5"
"eqbzr5l","RG4KYzK","2026-02-09 10:30:54","4","","","Any subject","","5","📚 to learn","","","Clear understanding ","","5"
"A7kQKal","9q1GVKE","2026-02-09 13:31:08","10","","","Unknown","","4","📚 to learn","Sr","","Gr","","5"
"rjXqWal","44k42ob","2026-02-09 15:05:16","8","","","Unknown","","5","📚 to learn","",""," ","","4"
"WO4gZak","XxG5zJV","2026-02-09 22:14:42","11","","","Unknown","","5","📚 to learn","","","I think him at the end of the session him asking if you understood but overall it was great.","","5"
"kdLprLR","yPyXz96","2026-02-09 22:15:22","16","","","Unknown","","5","📚 to learn","ghh","","guhhik","","5"
"dW7pXJy","WOoJQxa","2026-02-10 00:02:04","4","","","Any subject","","1","😌 to just chill + study","","","His work needs improvement","","1"
"EkpYMZN","QKr1oq7","2026-02-10 02:32:09","1","","","Unknown","","5","📚 to learn","","","No ","","5"
"Y52y9xB","A7JzzJz","2026-02-10 02:38:11","7","","","Unknown","","5","📚 to learn","","","Nothing","","4"
"rjXWZzR","zxzjDVZ","2026-02-10 03:50:53","2","","","Any subject","","5","📚 to learn","Its explant everything","","I speak little English and you speak so fast and you say big words I don’t understand ","","5"
"aQWg9Gq","A7JzDxk","2026-02-10 04:52:50","4","","","Unknown","","3","😌 to just chill + study","This application is not that good because multiple chapters are not as per the course in every subject I think the syllabus is not updated","","Please update your syllabus and I had chapter according to the syllabus the books are running in the schools currently","","3"
"VLrAZag","zxzjW8R","2026-02-10 05:48:39","4","","","Unknown","","4","📚 to learn","The fact that I got the generated notes and reference points and he was so fun to talk to","","It’s already Perfect
And besides, you can maybe add a style of talking like communicating while including practical examples and being a gen z","","4"
"44ZyLrb","9q1BR91","2026-02-10 06:02:59","19","","","Unknown","","5","📚 to learn","How the professor is nicer and more easy to explain","","Nothing sometimes","","2"
"yPORjK0","Gx16bZZ","2026-02-10 06:45:59","30","","","Unknown","","4","📚 to learn","I love that it is able to break it down easily no matter how many times I ask it to.","","The quiz portion needs work, it let pulling in terms that I didn’t give it. I was there was an option for a drag and drop style quiz or activity for vocabulary.","","4"
"xXG19yJ","rjK5vzM","2026-02-10 07:11:14","33","","","Any subject","","5","📚 to learn","That I can ask anything and he understands me. He has already helped so much!","","I love the whole call thing but my phone is really hot now so I’m not sure what it is that causes that but that’s the only issue for me so far ","","3"
"Me0QrRk","yP9ozp8","2026-02-10 10:03:01","3","","","Unknown","","5","📚 to learn","🚫","","🚫","","5"
"zxV4Wl1","vGBrax4","2026-02-10 13:22:54","6","","","Any subject","","5","📚 to learn","The  way he explained","","Nothing ur doing good","","5"
"q4yXzj2","vGBrax4","2026-02-10 13:39:44","5","","","Any subject","","5","📚 to learn","Everything","","No idea","","5"
"WO46zRN","5BkjxgP","2026-02-10 15:22:41","2","","","Any subject","","4","📚 to learn","","","Bugs","","4"
"J9yrkOK","jaM6L09","2026-02-10 15:56:31","38","","","Unknown","","3","📚 to learn","Har topic ko bahut acche se samjhte h","","Har EK topic ko aur acche se use whiteboard per samjhane ke liye rakhna chahie","","4"
"D4LO6PN","44k72zr","2026-02-10 20:53:09","11","","","Unknown","","5","📚 to learn","","","Nothing professor is the best. He listened to me while I opened up.","","5"
"kdLjPbd","vGBDN6Q","2026-02-10 20:55:08","1","","","Any subject","","5","📚 to learn","He knows what I’m talking about ","","Nothing ","","5"
"1AjQGKL","44k7y45","2026-02-10 23:50:33","0","","","Unknown","","4","📚 to learn","The help","","Nothing","","4"
"2E295VD","eqArgMo","2026-02-11 00:48:02","1","","","Unknown","","5","📚 to learn","","","Yes","","3"
"lbp8Z2B","Bz1pJx1","2026-02-11 00:48:59","32","","","Unknown","","4","📚 to learn","","","He glitches a lot while he’s taking ","","3"
"vGR8QJA","9qWy6aX","2026-02-11 02:14:58","1","","","Any subject","","5","📚 to learn","I love the  conversations we have ","","Nothing ","","5"
"VLKzN4E","Y5Z0lWv","2026-02-11 03:02:29","18","","","Unknown","","1","😌 to just chill + study","",""," ","","1"
"Me0pz0g","XxG4LVY","2026-02-11 03:22:56","0","","","Any subject","","5","📚 to learn","Its good","","Yes","","5"
"obJLWE5","LZGPvOj","2026-02-11 06:49:26","0","","","Any subject","","1","😌 to just chill + study","","","Good ","","1"
"LZ82qQp","2EkK0yg","2026-02-11 09:46:54","2","","","Unknown","","4","📚 to learn","I could understand ","","It would be better if animated videos ware also there","","4"
"jaKjDa6","xXQYE0k","2026-02-11 14:03:39","0","","","Any subject","","4","📚 to learn","","","Maybe you could help professor to tech differences subject and make vitals underwing ","","4"
"dW7OqOd","vGBYVoX","2026-02-11 14:05:32","35","","","Unknown","","2","📚 to learn","Please make it live information searching panel and including live animated video based aur also ","","Animated video implement please ","","1"
"Y521ybW","5Bk1jNd","2026-02-11 16:00:31","6","","","Unknown","","4","📚 to learn","","","If I co up of upload the lecture and talk about the points that I didn’t understand from the lecture alone ","","1"
"Me0W4Rl","LZGWdEp","2026-02-11 16:36:18","3","","","Unknown","","5","📚 to learn","Good very much good for me helping in examining ","","Nothing","","5"
"GxMMjRL","PdE5J7V","2026-02-11 19:40:47","7","","","Unknown","","5","📚 to learn","","","Nothing","",""
"5BNRbZN","obByEGx","2026-02-11 21:16:08","5","","","Any subject","","5","📚 to learn","","He cool","Notjing","",""
"1Aj8XKl","zxzqjKR","2026-02-11 21:19:00","3","","","Any subject","","5","📚 to learn","","Listening carefully and then answer any question ","Should identify one voice at one time ","",""
"44Z559B","NpV6ORQ","2026-02-12 01:24:37","28","","","Unknown","","4","📚 to learn","","uhm idk","Maybe he could show pictures are write out problems
","",""
"jaKN1xJ","81kKEv5","2026-02-12 01:30:04","3","","","Any subject","","5","📚 to learn","","His response ","Explain more precisely ","",""
"PdoV990","xXQpLkv","2026-02-12 02:32:01","24","","","Unknown","","5","😌 to just chill + study","","I liked how you showed the previous chats and how they explained it and how I can go back to it if I missed something and how they can easily go back on track, even though I went off a track","It will be cool if I could take a picture of my notes or take a video of my lecture, and you guys could make it into flashcards for me to study for midterms and finals","",""
"0Q4NOLZ","ODPzZ5R","2026-02-12 02:47:39","6","","","Unknown","","4","📚 to learn","","They exactly help you with the things you need to work on ","You are perfect ","",""
"44Ze8WY","81kKDgk","2026-02-12 03:05:56","14","","","Any subject","","5","📚 to learn","","","Show images of the equations","",""
"gDBK4Nd","68k7E8J","2026-02-12 03:23:44","55","","","Unknown","","4","📚 to learn","","It helped me a lot","Yes, I could do better. I was just overthinking and then after I just got on this one with the professor with a call and it is way better now.","",""
"aQW70gy","NpV61NQ","2026-02-12 03:33:04","42","","","Unknown","","5","📚 to learn","","He actually helps ","The hearing ","",""
"RGOEBaK","pbAKERb","2026-02-12 03:55:06","0","","","Any subject","","3","📝 to do homework","","","Step by step ","",""
"44ZeAgo","7RDWQoz","2026-02-12 04:21:01","11","","","Any subject","","5","📚 to learn","","Just really easy to talk to and can simplify things down really easily and understandably if you’re having a hard time understanding a concept and it’s last minute it really just breaks it down to the perfect amount that you can understand detailed information "," ","",""
"NpzGR10","pbAKERb","2026-02-12 05:10:45","0","","","Unknown","","4","📝 to do homework","","","Fine","",""
"ODROg9p","pbAKERb","2026-02-12 05:11:07","0","","","Unknown","","4","📚 to learn","","","It’s fine ","",""
"2E2QZ9g","pbAKERb","2026-02-12 05:12:03","0","","","Unknown","","3","📝 to do homework","","","Explain more ","",""
"WO4v6rL","eqABpDE","2026-02-12 09:44:18","0","","","Unknown","Italy","5","🎯 to prep for a test","","idk","idk ","",""
"aQW8oPW","1AKrBAg","2026-02-12 10:25:24","2","","","Any subject","India","5","🎯 to prep for a test","","Nothing ","Nothing much, it was good ","",""
"EkpjaQr","WOooEdj","2026-02-12 12:47:09","15","","","Any subject","India","5","📚 to learn","","I feel good and I understand All this subject 😃","Yes✅","",""
"EkpjeoL","ZjNL1b5","2026-02-12 13:12:57","4","","","Unknown","India","5","⚡ to get quick help (answer/explanation)","","Everything ","Nothing it's already better than before","",""
"BzvOPM5","5BkjxgP","2026-02-12 13:59:11","4","","","Unknown","India","4","📝 to do homework","","Heeeeee","Clothes more avatars ","",""
"81O1jNP","NpV0LDW","2026-02-12 18:49:55","5","","","Unknown","United States of America","3","📝 to do homework","He couldn’t graph and I want it learn easy and simplest as possible","","If he could graph would be great","",""
"Ek9q1z4","rjKEegp","2026-02-12 22:31:56","0","","","Any subject","Canada","3","😌 to just chill + study","Like it’s better to just give the answer ","","Yeahh ","",""
"rj7DbdM","9q1O9r5","2026-02-13 00:44:59","4","","","Unknown","Canada","5","⚡ to get quick help (answer/explanation)","","His way of explaining ","Probably helping with understanding different languages for homework ","",""
"xXKrBMd","J9RLxB4","2026-02-13 05:58:59","1","","","Any subject","United States of America","5","📝 to do homework","","not a lot helped me i’m still confused ","i don’t maybe…everything?
","",""
"q4ye7v5","J9RqlV7","2026-02-13 06:49:28","2","","","Unknown","Canada","2","📝 to do homework","Every mostly math","","Math 10c","","2"
"Zj0o8Vv","kdA5qM1","2026-02-13 08:03:45","2","","","Unknown","India","5","📚 to learn","","Nothing ","Allow prof curious to see us ","",""
"lbQeZvp","ODPY6EK","2026-02-13 13:43:41","1","","","Any subject","India","5","🎯 to prep for a test","","For easy learning","Huge help","",""
"rj7O62N","RG4J0pd","2026-02-13 15:32:00","0","","","Any subject","India","5","📝 to do homework","","Home work karaye","Home work karaye ","",""
"lbQ6lEp","dWA2Wjr","2026-02-13 19:53:16","85","","","Unknown","Canada","4","🎯 to prep for a test","","It gives really detailed explanations and is helpful","Make it generate pictures faster and or be able to upload files","",""
"2E0NxGp","lbA0LRv","2026-02-14 08:13:58","23","","","Any subject","India","2","⚡ to get quick help (answer/explanation)","Ham professor se yah chahte Hain ki hamara Koi question ho to usko solve Karen Koi answer likhna ho to question Bata Kar unhen Ham se answer Le Le aur koi kuchh Sikh bhi le Koi Ham Koi chij hamen sikhana hai to professor se Sikh mile","","Agar Ham badhiya karte Hain To Ham sab chhe mahine ka sab sab kiske le lenge","",""
"D4QdxZl","lbA0LRv","2026-02-14 08:41:33","23","","","Any subject","India","1","📚 to learn","Bata yaar बार-बार thodi bataya jata hai","","Chalo call bhi aate Hain","",""
"ODvze2M","zxzjW8R","2026-02-14 14:41:40","13","","","Any subject","India","4","⚡ to get quick help (answer/explanation)","","He gave me quick answers as I had been expecting. And the explanation was precise and really helpful","One thing I found a bit odd, the whiteboard, we do not get to switch between the whiteboard by ourselves, it does it automatically…
And one more thing I would like recommend, like irl, teachers use a pointer kinda thing to explain and point while giving solution, and students can also, like represent what they think, like the convo is more real life integrated….
Would be really thankful if such thing is introduced here as well….","",""
"WOy56Mv","lbA0LRv","2026-02-14 15:00:30","0","","","Any subject","India","2","📝 to do homework","Bad","","Better language","",""
"b5PkjWe","QKrvV77","2026-02-14 22:13:32","0","","","Unknown","India","5","⚡ to get quick help (answer/explanation)","","Vaibhav rao","Hindi","",""
"2E0k4rL","q4BoBEk","2026-02-14 23:12:25","0","","","Unknown","United States of America","5","📚 to learn","","My inglés ","Prácticing 20 minutes in the day","",""
"q46BMpd","Gx1Xbjp","2026-02-15 02:56:54","6","","","Unknown","United States of America","4","🎯 to prep for a test","","It I sent one of those ai apps where they don’t actually listen to you he helped me understand things that might not make sense to an AI generating app","I haven’t used it much so far but other than that, I like what I’m learning","",""
"VLglX46","XxG1Nbj","2026-02-15 03:21:09","0","","","Any subject","India","5","📚 to learn","","Assisting study ","Standard 6 th cbse and gk","",""
"Y58OljJ","0QM157N","2026-02-15 04:07:33","1","","","Any subject","India","3","⚡ to get quick help (answer/explanation)","It was repeating same things
","","Do what l say
","",""
"aQVGepv","xXQ4WGk","2026-02-15 06:48:56","23","","","Unknown","United States of America","5","🎯 to prep for a test","","When I asked him to explain something he not only explained it but he gave examples and went into good detail.","Idk if it’s already possible but maybe having a way to change his voice because it’s a little to calming and I was drifting off lol","",""
"obWOBbO","MeOvo68","2026-02-15 07:54:02","","","","","Nigeria","5","🎯 to prep for a test","","Everything helps ","I don't know any for now ","",""
"0QXPk4Q","2EklA7M","2026-02-15 09:46:55","2","","","Unknown","India","5","🎯 to prep for a test","","Idk","Idk","",""
"aQVGp0v","yPyqqMp","2026-02-15 11:04:20","1","","","Any subject","Ethiopia","5","🎯 to prep for a test","","Macro economics ","Nothing ","",""
"dWrlWVo","5BdJQbZ","2026-02-15 12:29:51","1","","","Any subject","India","5","📝 to do homework","","Nice","Nothing ","",""
"GxWLzoz","yPyoG4X","2026-02-15 13:33:12","3","","","Any subject","India","1","🎯 to prep for a test","I want the professor to explain those things to me in Hindi. ","","Hindi meaning extra ","",""
"XxXEeWL","ZjV1gKe","2026-02-15 13:39:25","9","","","Unknown","India","5","⚡ to get quick help (answer/explanation)","","Prof curious was quick to grasp my view on the problem ","It was interactive ","",""
"pbaGkXq","2EklGDM","2026-02-15 14:55:01","2","","","Any subject","India","5","📚 to learn","","Nothing 
","To solve problems and many more things that I can't know in max and science","",""
"Y58MdyB","kdAv9g1","2026-02-16 00:27:09","0","","","Any subject","United States of America","4","📝 to do homework","","Describe geometry ","Graphic","",""
"MeBdKMg","obBv5MX","2026-02-16 04:34:08","6","","","Any subject","United States of America","5","📝 to do homework","","😆","🙂","",""
"68or7rN","rjKYMav","2026-02-16 13:32:48","0","","","Unknown","Canada","5","⚡ to get quick help (answer/explanation)","","The call","Don’t tell us to buy things","",""
"dWrQY7A","7RDErBa","2026-02-16 13:40:00","0","","","Any subject","India","5","⚡ to get quick help (answer/explanation)","","Learn 5 long question and answers in 10mins
","Learn questions and answers ","",""
"7RG4V70","LZGOeRp","2026-02-16 13:59:22","0","","","Any subject","India","3","🎯 to prep for a test","Sounded very robotic ","","A more soft voice, and little slower explanation.","",""
"D4Q0ljl","Gx17r7j","2026-02-16 15:50:25","3","","","Any subject","India","4","⚡ to get quick help (answer/explanation)","","The answers helped me ","Just some time it takes too much time to give answer ","",""
"dWrK9zo","vGBrax4","2026-02-16 16:23:34","7","","","Any subject","India","5","📚 to learn","","The way he taught","Slow down the explanation ","",""
"445A2xo","b5kAKd2","2026-02-16 16:39:05","2","","","SAT (Digital)","United States of America","5","😌 to just chill + study","","Nothing because I asked it some easy questions to explore the app","I think we should be able to draw on whiteboard where we see the equations. If we get it wrong it would help the professor to walk us through it. ","",""
"rj7GKjR","aQxlKqy","2026-02-16 16:41:15","2","","","Unknown","India","3","😌 to just chill + study","The Whiteboard sid not responding ","","Whiteboards improve and Prof Should know All Language fluently","",""
"7RG1E92","zxzboQZ","2026-02-16 17:35:56","4","","","Any subject","India","5","📚 to learn","","Explain everything in a very simple and easy language","Should be more tentive sometimes we put up a thing but it catches some other things in the answer 
","",""
"pbaRgWJ","pbAZgX1","2026-02-16 18:57:05","0","","","World History: Modern","United States of America","3","🎯 to prep for a test","The bad explanations, no way to study all units at once","","Add a way to take full mock ap tests, maybe link videos on specific topics","",""
"Ek9Z1gq","44kEr4o","2026-02-16 20:27:42","30","","","Unknown","Canada","4","🎯 to prep for a test","","The fact that I could just ask any question and he knew oerfectly","Remembering/understanding. I told him a few times that we needed to forget about exponents","",""
"Npkb92W","Bz16AVe","2026-02-16 22:23:14","0","","","Any subject","Canada","3","📚 to learn","Everything went great ","","Everything was great. I just needed it to end cause I need to do something.","",""
"4459l9Y","44kEzxO","2026-02-16 22:50:30","5","","","Any subject","Canada","5","⚡ to get quick help (answer/explanation)","","The explanation ","Nothing it’s good","",""
"Y58J64z","MeOPVkY","2026-02-16 23:10:44","1","","","Any subject","United States of America","1","📚 to learn","He never help es me ","","Imprime him","",""
"XxX8jeO","jaMgg7Q","2026-02-16 23:27:21","22","","","Unknown","United States of America","5","🎯 to prep for a test","","He just really helped me understand everything and really broke everything down like my teachers don’t do that so it just really helped me to concept and figure out the stuff I needed to know and I really appreciate this app cause it really really helped me and I’m hoping to get a really good grade on this test and if it does, I will be spreading the word about this app because it could be changing kids lives thank you guys ","Nothing he was a huge help","",""
"RGpVoJ4","J92ee7J","2026-02-17 01:02:13","18","","","Unknown","United States of America","5","📚 to learn","","G","G","",""
"ODvoP28","ZjdNLNz","2026-02-17 02:03:53","1","","","Any subject","United States of America","5","📚 to learn","","i like how he dumbs it down and helps solve the equation step by step","honestly nothing","",""
"kdqkAPM","xXQgA2d","2026-02-17 02:03:56","2","","","Math (Updated)","United States of America","5","🎯 to prep for a test","","It’s actually so cool like it’s like Duolingo and it’s fun and they explain all their answers afterwards and getting the unlimited or the premium or whatever is so worth it. I love this app and never deleting this. This is a really good app to get some explanation and to help study for a test.","N/a","",""
"gD2kvjl","VLldLLN","2026-02-17 03:38:37","4","","","Unknown","United States of America","5","🎯 to prep for a test","","Explaining the steps","I think everything was pretty good","",""
"dWrx5KV","1AKrBAg","2026-02-17 06:36:59","9","","","Any subject","India","5","🎯 to prep for a test","","⅛","⅛ best and worst","",""
"GxWQb9p","dWApWGd","2026-02-17 12:11:08","0","","","Unknown","United States of America","5","📝 to do homework","","Algebra  and wold hoitiy","Algebra","",""
"MeBVv5X","MeOyO9M","2026-02-17 12:44:01","4","","","Unknown","Portugal","5","📚 to learn","","Como ele explica","Ele falar em português de Portugal ","",""
"MeBPbGM","81kyA7o","2026-02-17 18:52:13","0","","","Unknown","Canada","1","🎯 to prep for a test","Horrible didn’t even answer the questions I asked and did not listen to what I said, deviated from it and did not know anything","","Your AI needs a lot to be better","",""
"aQVyOOy","xXQLX9k","2026-02-17 22:23:45","1","","","Unknown","Canada","4","📝 to do homework","","The professor telling me how he got this answer and it helped me understand it more","Nothing it’s already good and very helpful","",""
"obWpOGP","Bz1V7l7","2026-02-17 23:49:46","5","","","Any subject","United States of America","3","⚡ to get quick help (answer/explanation)","It was glitching and he wouldn’t respond sometimes ","","It was glitching, and he wouldn’t respond at some point of our conversation.","",""
"jaNp0XQ","jaMqMb6","2026-02-18 00:28:58","113","","","Unknown","United States of America","5","🎯 to prep for a test","","This is such a good app but I feel like you guys need to work on the questions it gives because sometimes it has nothing to do with what I learned ","Oppp sorry I did at the beginning cause i didn’t read but great app ","",""
"PdKg8A1","VL0JRX6","2026-02-18 00:32:30","26","","","Unknown","United States of America","5","🎯 to prep for a test","","The fact that the answers are very AP oriented and very specific to the AP exam","not that I can think of anything at the moment","",""
"445dz6O","pbA6lGy","2026-02-18 06:16:46","4","","","Unknown","United States of America","5","📚 to learn","","Straight to the point answers","Nothing so far","",""
"zxlo281","0QMzDqP","2026-02-18 10:01:37","2","","","Any subject","India","4","📝 to do homework","","Hwhw","Jwwuuw","",""
"xXKLpXv","RG41XE4","2026-02-18 12:41:32","0","","","Biology","United States of America","3","🎯 to prep for a test","Dd","","Cc","",""
"ODvKAVg","RG4J0pd","2026-02-18 15:50:31","0","","","Any subject","India","5","📝 to do homework","","Home work ","Very good ","",""
"yPLr0l8","rjKQ9KL","2026-02-18 16:16:47","6","","","Unknown","Ethiopia","5","📚 to learn","","You guys are amazing. This outfit is amazing thank you so much and I love that. It’s very it’s very amazing clock.","I think I should be able to video call so I can throw my work to him and I can show my exercise book to him while I’m talking to him","",""
"RGp1X7j","KYo2xqD","2026-02-18 18:01:18","86","","","Unknown","United States of America","4","📚 to learn","","Giving me examples of what to use and just reassuring that i was doing stuff correctly ","Sometimes forgetting something i already made a point of saying ","",""
"NpkNrEO","9q10Vq5","2026-02-18 22:07:33","28","","","Any subject","United States of America","1","📝 to do homework","Honestly, he talked really fast and most of the stuff he got wrong","","Talk a bit slower and just give us the answers, but shorter","",""
"68q1KRN","D4VQZN5","2026-02-19 03:25:39","7","","","Any subject","United States of America","1","📝 to do homework","I asked for help in the book and it didn’t really help me","","When I show a book and give me the page number","","4"
"eq4gJdx","44klWJr","2026-02-19 07:09:50","0","","","Unknown","India","5","📝 to do homework","","Hard work ","Hard work ","",""
"VLgW24y","1AKrBAg","2026-02-19 08:37:10","4","","","Unknown","India","4","🎯 to prep for a test","","Your attitude ","Řwdccffřgg","",""
"2E0pNG9","81kBZzr","2026-02-19 19:07:34","dab78bca12564c00a3bbcccc6762dba7","91e1411b38bf4591b88ee81e0e06f36e","108","Any subject","Canada","5","📝 to do homework","","nice","nice","",""
"rj7eQRM","WOoWjxL","2026-02-19 20:03:02","23360a2bdf034b57a1825b8727c67649","5da09ec58f8843ed8271ec2f27aeca40","0","Any subject","Switzerland","4","🎯 to prep for a test","","The photo ","I think maybe you should add a section where you have things taught to you not js quiz ","",""
"eq4bbql","2Ekpk7M","2026-02-20 01:20:42","99e77c1c1e624fe2a3f115152ef2ade9","c3d5ccba54d94f84819981a651a5be00","5","Any subject","United States of America","5","🎯 to prep for a test","","I can ask any equation at any time ","For science explain step by step how you get formerly and everything same for math step by step ","",""
"1A8jZB1","QKrbYDA","2026-02-20 01:51:00","d7a2deadf7a049c1a1211c27dd11a0d2","bba02c4a2c9a4d5f8bb0e9c65b749f6c","0","Unknown","United States of America","4","😌 to just chill + study","","Idk","Give us like an idea or 2 if we can’t think of a reason to call","",""
"Ek99MXq","2Ekp52A","2026-02-20 04:31:24","2b1710fddcc64f8492b7687203440322","494741cbf5ca4957848a63157708c860","56","Unknown","Canada","4","📚 to learn","","He kind of explained somethings easier but he can do better ","The picture mode he can’t really see","",""
"zxllbZa","LZGeq7z","2026-02-20 04:47:35","c375919a48414296af1ae9a6b14f14f4","88848a51b05c4ffcac1bdaaf9a595f56","4","Unknown","India","4","⚡ to get quick help (answer/explanation)","","For quick answer it help me","More teachers of different subject 
Like professor of maths and Science
 One more professor of Hindi and English ","",""
"lbQQ14V","VLlKayg","2026-02-20 05:17:43","03d74b787dec49d792fd8712812c3d4a","ff62e577595f404991996341ca03248f","0","Unknown","India","2","📚 to learn","I'm not able work this app ","","Difficult ","",""
"A7ZZOAk","eqAVOee","2026-02-20 05:24:57","567beb7ce08742be82d0acd531729397","0cf255d29cbf4b1380d8b7fbfbc4410b","0","Math AA","India","5","⚡ to get quick help (answer/explanation)","","English","Sudharne ki jarurat hai bahut","",""
"rj77RN2","2Ee7PBg","2026-02-20 05:34:35","695ffc2a659b4d3f98266089af2111c8","ed9fe7c94b00417f97d0c75d5f47bad6","6","Unknown","United States of America","5","📚 to learn","","Help me, especially with my iep","Learning how to count money and learning how to read and spell","",""
"eq4drJo","68kq5Ko","2026-02-20 11:09:55","b86a109c15cd42cc8a703685c5bdc238","0f4cef5b928742bab9f800c1539b1338","0","Unknown","India","5","📚 to learn","","Good concept ","Haven't find yet","",""
"1A8Z5YL","A7JZQbk","2026-02-20 15:57:10","c0d6ab6bc60848328ec30e678ac6f7bc","e3a9777f24de4f129f8f62196f2cdaca","0","Any subject","Canada","2","📝 to do homework","Idk","","I love it it help me understand things I don know ","",""
"dWBqbao","68kq5Ko","2026-02-20 17:15:05","b86a109c15cd42cc8a703685c5bdc238","b56753ce91094fdaa2656caec4ba4b70","1","Unknown","India","5","📚 to learn","","Na","Na","",""
"LZR1Qaj","q4B0oEg","2026-02-20 21:01:21","fda2f39d9abe459383206222268b4e57","12fa62decb5b4adc81046b703b2e3459","0","Unknown","United States of America","5","📚 to learn","","Everything ","Idk","",""
"7R6Rgga","gDAKKrd","2026-02-21 01:00:49","cf4ee676740a4e20a6acdae027aed73f","86457859c1fa4d739794adea742a909e","0","Any subject","United States of America","1","⚡ to get quick help (answer/explanation)","It was good","","Nothing","",""
"GxWqa6k","XxG91jj","2026-02-21 02:43:58","5012ddd4f1df40d8bd8d49499860acae","42de849581eb4be1aa99d184c9605fca","2","Any subject","United States of America","5","😌 to just chill + study","","Everything ","Nothing ","",""
"PdVda5V","RG47MPP","2026-02-21 02:50:49","4b23f91b14b8439b9d5d09b904b9093e","850f21eb156f47ada53faf07ffb0140d","5","Unknown","United States of America","5","📚 to learn","","it’s explained stuff easily and it’s simple
","it explains stuff easily and it’s simple","",""
"rjzDozv","68kq5Ko","2026-02-21 04:26:11","b86a109c15cd42cc8a703685c5bdc238","8f1bec2a2e9043e2b144fc065e27f4d7","2","Unknown","India","5","⚡ to get quick help (answer/explanation)","","Na","Na","",""
"44eaYQ5","2ENxOz9","2026-02-21 08:00:13","4d2a19e2234d4f319c7a5442c7925d9b","be4de6f01be14c3382ea9819f12f4d0c","3","Any subject","India","5","📝 to do homework","","Great answers","More training on diagram","",""
"ODOll9K","NpVKd4l","2026-02-21 14:25:34","b7e503fc350441d0926d1eb3940d20f5","f7600ed1357a416da0fce2699221852b","0","Unknown","India","3","📚 to learn","Well I can not get to refund notes of i accidentally press his video feed vuew","","23","",""
"J95dp6J","NpVKd4l","2026-02-21 14:28:37","b7e503fc350441d0926d1eb3940d20f5","9678f8e93d5b4a2d94a319e616603f92","2","Unknown","India","5","⚡ to get quick help (answer/explanation)","","Everything in explaining n the ref notes","Nothing hes perfect ","",""
"RGEoPEQ","ODGoJWg","2026-02-22 01:58:53","073fe378d0bd4ca3abfe4207bae54bfd","1ba09b72d5574fcb8a899fe1ab0ee252","7","Any subject","United States of America","5","😌 to just chill + study","","active recall","none","",""
